ITEM_ID,CATEGORY,SUBCATEGORY,PRICE
536,Inmuebles,Apartamentos,1500000
537,Tecnologi,Videojuegos - consolas,1500000
538,Inmuebles,Apartamentos,1500000
539,Tecnologi,Celulares y teli,1500000
540,Deportes y entretenimiento,Bicicletas y accesorios,1599000
541,Tecnologi,Celulares y teli,1600000
542,Electrodomi,Neveras - congeladores,1600000
543,Tecnologi,Camaras y accesorios,1600000
544,Inmuebles,Apartamentos,1700000
545,Tecnologi,Celulares y teli,1700000
546,Vehi,Motos,1700000
547,Vehi,Accesorios,1750000
548,Tecnologi,Computadores  laptops y accesorios,1799000
549,Tecnologi,Tv - reproductores de video,1800000
550,Deportes y entretenimiento,Arti,1800000
551,Inmuebles,Apartamentos,1850000
552,Inmuebles,Apartamentos,1850000
553,Inmuebles,Apartamentos,1850000
554,Inmuebles,Apartamentos,1850000
555,Tecnologi,Computadores  laptops y accesorios,1900000
556,Deportes y entretenimiento,Bicicletas y accesorios,1900000
557,Tecnologi,Celulares y teli,1900000
558,Tecnologi,Celulares y teli,1950000
559,Tecnologi,Celulares y teli,1950000
560,Tecnologi,Celulares y teli,2000000
561,Deportes y entretenimiento,Bicicletas y accesorios,2000000
562,Deportes y entretenimiento,Instrumentos musicales y accesorios,2000000
563,Hogar y decoracii,Salas,2000000
564,Vehi,Motos,2100000
565,Vehi,Motos,2150000
566,Deportes y entretenimiento,Bicicletas y accesorios,2150000
567,Hogar y decoracii,Muebles,2200000
568,Bebi,Dormitorios - cunas,2200000
569,Tecnologi,Computadores  laptops y accesorios,2300000
570,Vehi,Accesorios,2350000
571,Deportes y entretenimiento,Bicicletas y accesorios,2400000
572,Deportes y entretenimiento,Bicicletas y accesorios,2400000
573,Deportes y entretenimiento,Bicicletas y accesorios,2500000
574,Deportes y entretenimiento,Otros    ,2500000
575,Vehi,Motos,2500000
576,Tecnologi,Celulares y teli,2500000
577,Inmuebles,Apartamentos,2600000
578,Deportes y entretenimiento,Bicicletas y accesorios,2700000
579,Tecnologi,Celulares y teli,2800000
580,Tecnologi,Videojuegos - consolas,2800000
581,Deportes y entretenimiento,Bicicletas y accesorios,2900000
582,Hogar y decoracii,Muebles,3000000
583,Vehi,Motos,3000000
584,Vehi,Motos,3100000
585,Vehi,Motos,3200000
586,Deportes y entretenimiento,Bicicletas y accesorios,3300000
587,Vehi,Motos,3400000
588,Tecnologi,Computadores  laptops y accesorios,3400000
589,Vehi,Motos,3500000
590,Inmuebles,Apartamentos,3500000
591,Vehi,Motos,3500000
592,Inmuebles,Apartamentos,3500000
593,Vehi,Motos,3500000
594,Vehi,Motos,3500000
595,Deportes y entretenimiento,Bicicletas y accesorios,3600000
596,Vehi,Motos,3650000
597,Vehi,Motos,3700000
