USER_ID,UBICATION,CORPORATE
22727,San Pedro,Bancolombia
22733,Santafe De Bogota D.C.,Bancolombia
22741,Envigado,Ayuramotor
22744,Medellin,PersonalSoft
22764,Santafe De Bogota D.C.,Bancolombia
22765,Santafe De Bogota D.C.,Bancolombia
22767,Medellin,Bancolombia
22769,Santafe De Bogota D.C.,Bancolombia
22771,Medellin,PersonalSoft
22772,Medellin,Pragma
22773,Santafe De Bogota D.C.,Bancolombia
22777,Medellin,Sura
22778,Medellin,Globant
22782,Santafe De Bogota D.C.,Bancolombia
22783,Medellin,Bancolombia
22784,Guarne,Bancolombia
22785,Sabaneta,Todo1
22786,Envigado,Bancolombia
22787,Medellin,Sura
22788,Medellin,Sura
22793,Copacabana,Bancolombia
22794,Medellin,Bancolombia
22795,Medellin,Globant
22796,Santafe De Bogota D.C.,Globant
22797,Medellin,Tuya
22798,Medellin,Eafit
22800,Medellin,Eafit
22802,Medellin,Eafit
22806,Medellin,Isagen
22807,Medellin,Sura
22808,Medellin,Sura
22810,Medellin,Sura
22811,Medellin,Sura
22813,Medellin,Sura
22814,Oca̱a,Tuya
22815,Medellin,Sura
22816,Medellin,Sura
22817,Barranquilla,Sura
22818,Medellin,Sura
22819,Medellin,Satrack
22821,Medellin,Sura
22822,Medellin,Sura
22824,Envigado,Sura
22826,Medellin,Sura
22828,Medellin,Sura
22829,Medellin,Sura
22830,Medellin,Sura
22831,Medellin,Sura
22832,Medellin,Sura
22833,Envigado,Sura
22834,Envigado,Sura
22835,Medellin,Sura
22836,Envigado,Sura
22838,Medellin,Sura
22839,Medellin,Sura
22840,Bello,Sura
22841,Medellin,Sura
22842,Medellin,Sura
